Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00    57944     0.00     0.00  std::_Optional_base_impl<std::pair<Coords, Coords>, std::_Optional_base<std::pair<Coords, Coords>, true, true> >::_M_reset()
  0.00      0.14     0.00    57944     0.00     0.00  std::_Optional_payload_base<std::pair<Coords, Coords> >::_M_destroy()
  0.00      0.14     0.00    57944     0.00     0.00  std::_Optional_payload_base<std::pair<Coords, Coords> >::_M_reset()
  0.00      0.14     0.00    57944     0.00     0.00  std::optional<std::pair<Coords, Coords> >::operator=(std::nullopt_t)
  0.00      0.14     0.00    50958     0.00     0.00  std::pair<Coords, Coords>::operator=(std::pair<Coords, Coords> const&)
  0.00      0.14     0.00      808     0.00     0.00  __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::base() const
  0.00      0.14     0.00      646     0.00     0.00  __gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > >::base() const
  0.00      0.14     0.00      400     0.00     0.00  bool __gnu_cxx::operator!=<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >(__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > const&, __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > const&)
  0.00      0.14     0.00      349     0.00     0.00  Coords* std::__addressof<Coords>(Coords&)
  0.00      0.14     0.00      324     0.00     0.00  std::optional<Piece>* std::__addressof<std::optional<Piece> >(std::optional<Piece>&)
  0.00      0.14     0.00      323     0.00     0.00  bool __gnu_cxx::operator!=<Coords const*, std::vector<Coords, std::allocator<Coords> > >(__gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > > const&, __gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > > const&)
  0.00      0.14     0.00      320     0.00     0.00  __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::operator++()
  0.00      0.14     0.00      320     0.00     0.00  __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::operator*() const
  0.00      0.14     0.00      320     0.00     0.00  void std::_Construct<std::optional<Piece>, std::optional<Piece> const&>(std::optional<Piece>*, std::optional<Piece> const&)
  0.00      0.14     0.00      320     0.00     0.00  std::optional<Piece> const& std::forward<std::optional<Piece> const&>(std::remove_reference<std::optional<Piece> const&>::type&)
  0.00      0.14     0.00      304     0.00     0.00  __gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > >::operator++()
  0.00      0.14     0.00      304     0.00     0.00  __gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > >::operator*() const
  0.00      0.14     0.00      304     0.00     0.00  void std::_Construct<Coords, Coords const&>(Coords*, Coords const&)
